"시도별","연령별",2019,2019,2020,2020,2021,2021,2022,2022,2023,2023,2024,2024
"시도별","연령별",남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건)
"대전광역시","40 - 44세",9.3,5.2,8.0,5.4,7.3,5.0,7.8,5.6,8.5,5.2,9.8,5.8
"대전광역시","45 - 49세",4.7,3.6,4.0,3.1,3.3,2.8,4.1,2.9,4.2,2.7,3.7,2.5
"대전광역시","50 - 54세",3.2,3.0,2.5,2.9,2.1,2.3,3.0,2.7,2.8,2.6,2.6,2.3
"대전광역시","55세이상",1.7,1.0,1.8,1.1,1.3,0.8,1.6,1.0,1.5,0.9,1.5,1.0
"대전광역시","55 - 59세",2.8,2.4,2.8,2.2,2.1,1.8,2.5,2.0,2.5,2.0,2.3,2.1
"대전광역시","60 - 64세",2.1,1.2,2.2,1.5,1.5,0.9,2.0,1.2,1.6,1.1,1.7,1.2
"대전광역시","65 - 69세",0.9,0.4,1.2,0.7,0.9,0.5,1.3,0.9,1.2,0.5,1.2,0.8
"대전광역시","70 - 74세",0.8,0.3,0.8,0.3,0.7,0.3,0.7,0.4,1.0,0.5,0.6,0.6
"대전광역시","75세이상",0.5,0.1,0.5,0.2,0.4,0.2,0.7,0.2,0.6,0.2,0.7,0.2
"울산광역시","15 - 19세",0.2,0.6,0.3,0.5,0.1,0.5,0.2,0.7,0.2,0.5,0.1,0.3
"울산광역시","20 - 24세",2.6,8.1,2.2,6.8,2.3,6.3,1.3,5.8,2.4,5.4,2.4,5.6
"울산광역시","25 - 29세",32.7,57.8,27.8,53.3,23.7,45.4,22.0,42.8,22.3,44.3,25.3,49.7
"울산광역시","30 - 34세",51.5,43.3,48.8,42.4,40.7,38.9,41.5,39.9,42.2,44.3,50.4,52.2
"울산광역시","35 - 39세",19.1,11.6,16.5,10.6,15.8,10.4,16.8,11.4,20.9,12.7,22.4,17.3
"울산광역시","40 - 44세",8.3,5.8,7.1,5.4,6.1,4.7,6.5,4.5,7.2,5.3,7.6,4.3
"울산광역시","45 - 49세",5.4,4.0,4.4,3.5,3.9,3.4,4.1,3.4,4.5,3.4,4.4,3.2
"울산광역시","50 - 54세",4.1,3.5,2.9,2.2,2.6,3.0,3.0,2.8,3.3,2.7,3.0,2.6
"울산광역시","55세이상",1.7,1.0,1.5,1.1,1.5,0.9,1.4,0.9,1.4,1.1,1.3,0.9
"울산광역시","55 - 59세",2.5,1.9,2.6,2.4,2.8,1.7,2.2,1.9,2.4,2.1,2.4,2.0
"울산광역시","60 - 64세",1.7,1.1,1.6,0.9,1.3,1.0,1.7,1.1,1.5,1.3,1.5,1.1
"울산광역시","65 - 69세",1.2,0.5,0.8,0.6,0.8,0.4,0.7,0.6,0.9,0.6,0.8,0.4
"울산광역시","70 - 74세",0.5,0.4,0.5,0.2,0.6,0.5,0.6,0.3,0.7,0.3,0.5,0.3
