"남편의 연령별","아내의 연령별",2019,2020,2021,2022,2023,2024
"24세","70 - 74세",0,0,0,0,0,0
"24세","75세이상",0,0,0,0,0,0
"24세","미상",0,0,0,0,0,0
"25세","계",4206,3632,3217,2815,2585,2667
"25세","15세미만",0,0,0,0,0,0
"25세","15세",0,0,2,1,0,0
"25세","16세",0,0,1,0,2,1
"25세","17세",0,5,1,1,0,0
"25세","18세",20,12,13,7,10,12
"25세","19세",54,44,41,18,25,15
"25세","20세",62,70,62,44,36,57
"25세","21세",161,114,91,83,66,49
"25세","22세",230,192,153,137,123,106
"25세","23세",347,288,244,211,177,202
"25세","24세",558,465,420,384,336,344
"25세","25세",1025,932,819,671,597,638
"25세","26세",686,590,488,454,420,427
"25세","27세",349,305,282,248,246,241
"25세","28세",200,215,186,167,161,170
"25세","29세",155,131,134,127,117,144
"25세","30세",122,87,75,76,85,82
"25세","31세",74,58,66,46,56,46
"25세","32세",53,35,38,36,42,46
"25세","33세",30,32,31,35,19,26
"25세","34세",19,11,13,13,18,16
"25세","35세",13,13,21,15,15,12
"25세","36세",14,9,13,14,12,12
"25세","37세",5,8,8,7,9,1
"25세","38세",4,5,5,4,3,6
"25세","39세",7,2,4,6,3,5
"25세","40 - 44세",13,8,5,8,3,8
"25세","45 - 49세",3,1,1,1,2,1
"25세","50 - 54세",2,0,0,1,2,0
"25세","55 - 59세",0,0,0,0,0,0
"25세","60 - 64세",0,0,0,0,0,0
"25세","65 - 69세",0,0,0,0,0,0
"25세","70 - 74세",0,0,0,0,0,0
"25세","75세이상",0,0,0,0,0,0
"25세","미상",0,0,0,0,0,0
"26세","계",6976,6154,5243,4907,4182,4669
"26세","15세미만",0,0,0,0,0,0
"26세","15세",0,0,0,1,0,0
"26세","16세",1,1,0,1,1,1
"26세","17세",5,4,3,3,3,0
"26세","18세",11,15,11,8,10,10
"26세","19세",39,33,22,28,19,20
"26세","20세",83,64,54,37,38,26
"26세","21세",126,76,87,66,63,62
"26세","22세",224,176,156,156,113,116
"26세","23세",380,291,232,207,177,187
"26세","24세",635,529,410,376,308,355
"26세","25세",1024,861,766,715,587,648
"26세","26세",1804,1621,1355,1341,1118,1201
"26세","27세",1105,1068,849,822,658,746
"26세","28세",541,470,436,387,338,370
"26세","29세",331,380,306,251,247,317
"26세","30세",232,191,189,166,177,211
"26세","31세",156,107,101,112,97,142
"26세","32세",93,91,88,79,70,99
"26세","33세",63,46,64,43,44,62
"26세","34세",39,44,36,28,28,31
"26세","35세",22,30,30,19,18,23
"26세","36세",16,20,9,21,16,11
"26세","37세",17,15,11,10,15,12
"26세","38세",8,6,7,8,5,6
"26세","39세",9,6,7,4,7,3
"26세","40 - 44세",4,8,12,16,20,6
"26세","45 - 49세",6,0,2,1,4,3
"26세","50 - 54세",2,1,0,1,0,1
"26세","55 - 59세",0,0,0,0,1,0
"26세","60 - 64세",0,0,0,0,0,0
"26세","65 - 69세",0,0,0,0,0,0
"26세","70 - 74세",0,0,0,0,0,0
"26세","75세이상",0,0,0,0,0,0
"26세","미상",0,0,0,0,0,0
"27세","계",9851,9125,7632,6983,6410,7147
"27세","15세미만",0,0,0,0,0,0
"27세","15세",1,2,2,0,0,0
"27세","16세",0,1,1,0,0,0
"27세","17세",4,1,0,2,1,0
"27세","18세",21,9,8,6,6,8
"27세","19세",40,32,16,22,19,19
"27세","20세",53,50,33,37,25,48
"27세","21세",86,86,82,61,59,45
"27세","22세",180,163,109,121,118,110
"27세","23세",355,291,232,215,177,188
"27세","24세",606,550,420,383,347,363
"27세","25세",1002,881,761,666,611,611
"27세","26세",1699,1540,1235,1133,1017,1126
"27세","27세",2623,2340,1972,1764,1631,1821
"27세","28세",1260,1346,1081,1036,940,1090
"27세","29세",715,677,602,543,489,587
"27세","30세",432,420,395,350,351,398
"27세","31세",292,249,250,215,231,277
"27세","32세",152,166,158,172,134,165
"27세","33세",115,88,94,96,66,97
"27세","34세",64,91,66,46,70,58
"27세","35세",47,42,23,29,36,54
"27세","36세",37,25,27,27,24,15
"27세","37세",22,26,17,19,14,21
"27세","38세",16,7,17,9,13,11
"27세","39세",12,15,11,8,13,8
"27세","40 - 44세",14,21,14,21,17,20
"27세","45 - 49세",2,2,3,1,1,5
"27세","50 - 54세",1,3,3,1,0,2
"27세","55 - 59세",0,1,0,0,0,0
"27세","60 - 64세",0,0,0,0,0,0
"27세","65 - 69세",0,0,0,0,0,0
"27세","70 - 74세",0,0,0,0,0,0
"27세","75세이상",0,0,0,0,0,0
"27세","미상",0,0,0,0,0,0
"28세","계",12734,12442,10897,9891,9069,10615
"28세","15세미만",0,0,0,0,0,0
"28세","15세",1,1,0,0,0,1
"28세","16세",1,1,3,0,0,1
"28세","17세",1,2,0,0,3,4
"28세","18세",17,8,8,8,7,9
"28세","19세",26,28,19,20,8,17
"28세","20세",56,49,45,28,18,36
"28세","21세",99,70,64,62,43,35
"28세","22세",154,140,117,105,88,85
"28세","23세",293,241,218,211,174,198
"28세","24세",518,519,383,405,324,368
"28세","25세",923,850,761,668,582,622
"28세","26세",1535,1450,1237,1099,920,1028
"28세","27세",2187,2052,1774,1509,1450,1648
"28세","28세",3180,3221,2787,2397,2278,2743
"28세","29세",1646,1702,1586,1454,1355,1594
"28세","30세",799,841,742,715,699,812
"28세","31세",466,510,434,479,407,552
"28세","32세",330,284,274,250,270,325
"28세","33세",191,184,145,167,163,195
"28세","34세",106,105,102,111,95,136
"28세","35세",61,58,66,56,61,73
"28세","36세",50,42,36,47,45,33
"28세","37세",32,26,32,34,35,31
"28세","38세",23,25,17,21,15,21
"28세","39세",10,11,16,15,9,15
"28세","40 - 44세",26,19,23,26,13,31
"28세","45 - 49세",2,2,6,4,6,1
"28세","50 - 54세",1,0,1,0,0,1
"28세","55 - 59세",0,1,1,0,0,0
"28세","60 - 64세",0,0,0,0,1,0
"28세","65 - 69세",0,0,0,0,0,0
"28세","70 - 74세",0,0,0,0,0,0
"28세","75세이상",0,0,0,0,0,0
"28세","미상",0,0,0,0,0,0
"29세","계",16536,15353,14012,12958,12369,14715
"29세","15세미만",0,0,0,0,0,0
"29세","15세",0,1,0,0,0,0
"29세","16세",0,0,0,0,0,0
"29세","17세",1,2,0,1,2,0
"29세","18세",13,9,5,2,10,9
"29세","19세",19,24,20,9,16,16
"29세","20세",23,44,31,25,26,22
"29세","21세",69,66,63,46,44,37
"29세","22세",129,112,94,87,76,80
"29세","23세",227,205,172,153,176,153
"29세","24세",495,391,364,291,298,302
"29세","25세",928,784,660,636,603,601
"29세","26세",1748,1418,1249,1094,995,1127
"29세","27세",2315,2067,1784,1602,1476,1734
"29세","28세",2925,2783,2476,2192,2066,2449
"29세","29세",3619,3662,3347,3037,2921,3612
"29세","30세",1836,1762,1694,1715,1572,1963
"29세","31세",883,819,843,827,799,1072
"29세","32세",509,474,485,514,511,622
"29세","33세",287,287,281,286,295,391
"29세","34세",185,149,170,164,200,185
"29세","35세",124,92,106,91,99,113
"29세","36세",67,66,55,72,64,73
"29세","37세",54,45,42,43,40,48
"29세","38세",37,31,24,22,26,31
"29세","39세",14,18,21,13,15,24
"29세","40 - 44세",24,36,19,32,36,46
"29세","45 - 49세",3,5,4,4,2,4
"29세","50 - 54세",1,1,3,0,1,0
"29세","55 - 59세",0,0,0,0,0,1
"29세","60 - 64세",1,0,0,0,0,0
"29세","65 - 69세",0,0,0,0,0,0
"29세","70 - 74세",0,0,0,0,0,0
"29세","75세이상",0,0,0,0,0,0
"29세","미상",0,0,0,0,0,0
"30세","계",17694,16751,14816,14679,14612,17672
"30세","15세미만",0,0,0,0,0,0
"30세","15세",0,0,0,0,0,0
"30세","16세",1,0,0,0,0,0
"30세","17세",1,2,1,0,1,0
"30세","18세",15,3,3,5,8,12
"30세","19세",20,16,18,21,14,15
"30세","20세",21,36,24,26,24,24
"30세","21세",60,52,28,46,30,40
"30세","22세",109,74,90,62,48,64
"30세","23세",178,147,123,120,126,141
"30세","24세",387,345,251,241,232,244
"30세","25세",727,658,506,483,462,447
"30세","26세",1447,1267,997,938,865,1026
"30세","27세",2170,1914,1587,1466,1427,1655
"30세","28세",2551,2559,2117,1962,1953,2318
"30세","29세",3015,2802,2740,2699,2491,3079
"30세","30세",3390,3262,3042,3097,3159,3890
"30세","31세",1676,1669,1494,1587,1663,2180
"30세","32세",790,798,719,782,868,1049
"30세","33세",456,466,416,465,480,639
"30세","34세",230,286,256,254,320,315
"30세","35세",154,131,148,166,155,208
"30세","36세",115,94,91,81,103,113
"30세","37세",59,48,62,57,66,73
"30세","38세",50,40,29,32,38,40
"30세","39세",23,29,26,23,24,40
"30세","40 - 44세",38,45,41,58,46,48
"30세","45 - 49세",9,6,6,6,7,10
"30세","50 - 54세",0,2,1,2,2,2
"30세","55 - 59세",1,0,0,0,0,0
"30세","60 - 64세",0,0,0,0,0,0
"30세","65 - 69세",1,0,0,0,0,0
"30세","70 - 74세",0,0,0,0,0,0
"30세","75세이상",0,0,0,0,0,0
"30세","미상",0,0,0,0,0,0
"31세","계",18187,16964,15260,14844,15463,19317
"31세","15세미만",0,0,0,0,0,0
"31세","15세",1,0,1,0,0,0
"31세","16세",0,0,0,1,0,0
"31세","17세",0,1,0,0,1,1
"31세","18세",12,1,2,3,3,10
"31세","19세",19,10,10,10,13,10
"31세","20세",24,16,17,17,17,19
"31세","21세",53,34,27,34,28,24
"31세","22세",98,69,39,53,52,58
"31세","23세",157,149,124,100,92,117
"31세","24세",297,234,202,160,175,201
"31세","25세",608,486,367,348,357,394
"31세","26세",1195,927,790,701,668,805
"31세","27세",1842,1661,1330,1204,1211,1389
"31세","28세",2375,2240,1900,1690,1643,2164
"31세","29세",2677,2523,2442,2227,2254,2742
"31세","30세",2766,2708,2462,2603,2670,3233
"31세","31세",2926,2849,2658,2705,3076,3847
"31세","32세",1421,1370,1355,1338,1437,2014
"31세","33세",675,681,644,695,699,1039
"31세","34세",365,423,336,371,433,494
"31세","35세",271,210,222,248,245,282
"31세","36세",142,137,106,126,134,167
"31세","37세",85,92,74,74,85,106
"31세","38세",56,57,36,52,45,67
"31세","39세",47,28,40,29,39,45
"31세","40 - 44세",65,46,63,49,76,77
"31세","45 - 49세",9,9,10,6,7,11
"31세","50 - 54세",1,3,3,0,3,1
"31세","55 - 59세",0,0,0,0,0,0
"31세","60 - 64세",0,0,0,0,0,0
"31세","65 - 69세",0,0,0,0,0,0
"31세","70 - 74세",0,0,0,0,0,0
"31세","75세이상",0,0,0,0,0,0
"31세","미상",0,0,0,0,0,0
"32세","계",17633,16180,14468,14370,14830,18794
"32세","15세미만",0,0,0,0,0,0
"32세","15세",0,0,0,0,0,0
"32세","16세",1,0,0,0,0,0
"32세","17세",0,1,0,0,1,0
"32세","18세",21,9,3,2,9,6
"32세","19세",19,16,5,10,6,13
"32세","20세",25,16,20,14,11,16
"32세","21세",48,33,29,26,38,27
"32세","22세",69,63,41,48,42,43
"32세","23세",144,117,74,88,66,77
"32세","24세",223,214,172,154,135,158
"32세","25세",485,372,299,285,255,260
"32세","26세",932,701,587,550,527,590
"32세","27세",1522,1267,1030,889,812,1032
"32세","28세",1995,1799,1520,1378,1373,1677
"32세","29세",2390,2328,2016,2034,1873,2392
"32세","30세",2343,2248,2109,2066,2252,2774
"32세","31세",2392,2201,2091,2181,2378,3022
"32세","32세",2392,2298,2155,2182,2424,3269
"32세","33세",1156,1102,1059,1126,1199,1601
"32세","34세",564,557,468,546,588,790
"32세","35세",351,326,283,318,309,407
"32세","36세",208,184,167,185,200,247
"32세","37세",126,108,117,95,120,174
"32세","38세",77,70,81,62,66,77
"32세","39세",46,46,50,38,52,40
"32세","40 - 44세",81,87,83,84,85,85
"32세","45 - 49세",20,12,6,8,8,12
"32세","50 - 54세",2,5,1,1,1,3
"32세","55 - 59세",1,0,2,0,0,2
"32세","60 - 64세",0,0,0,0,0,0
"32세","65 - 69세",0,0,0,0,0,0
"32세","70 - 74세",0,0,0,0,0,0
"32세","75세이상",0,0,0,0,0,0
"32세","미상",0,0,0,0,0,0
"33세","계",16002,14448,13244,12959,13406,16726
"33세","15세미만",0,0,0,0,0,0
"33세","15세",0,0,0,0,0,0
"33세","16세",0,0,0,1,0,1
"33세","17세",1,0,0,1,0,0
"33세","18세",16,7,4,4,9,14
"33세","19세",27,21,9,8,15,12
"33세","20세",31,22,13,17,11,14
"33세","21세",46,33,28,19,24,38
"33세","22세",66,44,35,33,54,40
"33세","23세",123,94,92,63,68,65
"33세","24세",228,150,131,96,109,106
"33세","25세",334,294,236,199,174,199
"33세","26세",654,490,433,364,343,383
"33세","27세",1003,898,686,639,555,650
"33세","28세",1414,1344,1166,1019,948,1176
"33세","29세",1968,1914,1566,1570,1485,1709
"33세","30세",2060,1878,1739,1790,1775,2250
"33세","31세",1998,1889,1750,1715,1976,2525
"33세","32세",1944,1744,1670,1716,1883,2462
"33세","33세",1911,1742,1690,1726,1949,2454
"33세","34세",888,827,866,880,947,1228
"33세","35세",495,407,463,428,431,571
"33세","36세",295,239,249,242,240,337
"33세","37세",180,159,141,162,139,204
"33세","38세",111,81,86,97,101,101
"33세","39세",66,73,69,61,56,55
"33세","40 - 44세",128,85,107,96,101,119
"33세","45 - 49세",14,10,15,11,11,10
"33세","50 - 54세",1,3,0,2,2,3
"33세","55 - 59세",0,0,0,0,0,0
"33세","60 - 64세",0,0,0,0,0,0
"33세","65 - 69세",0,0,0,0,0,0
"33세","70 - 74세",0,0,0,0,0,0
"33세","75세이상",0,0,0,0,0,0
"33세","미상",0,0,0,0,0,0
"34세","계",13716,12896,11462,11569,11964,14498
"34세","15세미만",0,0,0,0,0,0
"34세","15세",1,0,0,0,0,0
"34세","16세",0,1,1,0,1,0
"34세","17세",0,2,0,2,0,1
"34세","18세",20,10,5,6,7,13
"34세","19세",39,9,12,9,12,20
"34세","20세",35,14,13,20,17,14
"34세","21세",51,38,19,25,25,20
"34세","22세",65,38,24,40,32,34
"34세","23세",105,83,59,48,56,57
"34세","24세",163,140,122,88,87,75
"34세","25세",254,229,159,147,138,160
"34세","26세",475,381,322,280,249,233
"34세","27세",690,638,495,414,442,468
"34세","28세",930,945,761,710,666,762
"34세","29세",1332,1280,1168,1114,1058,1208
"34세","30세",1525,1493,1393,1421,1446,1653
"34세","31세",1633,1569,1400,1520,1626,1966
"34세","32세",1592,1530,1363,1435,1578,2047
"34세","33세",1486,1456,1333,1358,1521,1914
"34세","34세",1448,1346,1296,1337,1367,1804
"34세","35세",760,699,618,672,700,870
"34세","36세",392,358,310,346,365,451
"34세","37세",282,259,213,202,205,272
"34세","38세",163,149,128,134,125,166
"34세","39세",101,86,80,83,72,89
"34세","40 - 44세",154,120,139,138,142,175
"34세","45 - 49세",16,22,24,17,20,20
"34세","50 - 54세",4,1,3,3,6,5
"34세","55 - 59세",0,0,2,0,1,1
"34세","60 - 64세",0,0,0,0,0,0
"34세","65 - 69세",0,0,0,0,0,0
"34세","70 - 74세",0,0,0,0,0,0
"34세","75세이상",0,0,0,0,0,0
"34세","미상",0,0,0,0,0,0
"35세","계",12332,10604,9541,9726,10275,12446
"35세","15세미만",0,0,0,0,0,0
"35세","15세",0,1,0,0,0,1
"35세","16세",1,0,0,1,0,1
"35세","17세",1,1,0,2,0,0
"35세","18세",48,12,1,7,14,17
"35세","19세",34,25,8,7,10,19
"35세","20세",31,27,9,15,16,17
"35세","21세",36,32,21,23,19,21
"35세","22세",60,33,24,17,33,33
"35세","23세",105,73,50,53,48,24
"35세","24세",133,100,81,87,64,66
"35세","25세",228,155,140,117,107,102
"35세","26세",334,245,210,195,203,195
"35세","27세",497,393,282,293,268,289
"35세","28세",675,596,500,474,435,479
"35세","29세",899,814,749,673,701,763
